Date,Value
2025-05-21,224971
2025-05-22,229269
2025-05-23,233259
2025-05-24,239106
2025-05-25,241676
2025-05-26,244760
2025-05-27,248346
2025-05-28,252471
2025-05-29,255267
2025-05-30,258531
2025-05-31,261328
2025-06-01,262314
2025-06-02,263954
2025-06-03,266182
2025-06-04,268168
2025-06-05,269773
2025-06-06,271589
2025-06-07,273826
2025-06-08,276568
2025-06-09,279701
2025-06-10,280909
2025-06-11,282966
2025-06-12,284081
2025-06-13,284873
2025-06-14,285612
2025-06-15,286327
2025-06-16,287917
2025-06-17,289302
2025-06-18,290114
2025-06-19,291484
2025-06-20,292657
2025-06-21,293450
2025-06-22,294025
2025-06-23,294721
2025-06-24,295231
2025-06-25,295682
2025-06-26,296228
2025-06-27,296703
2025-06-28,297320
2025-06-29,297479
2025-06-30,297699
2025-07-01,297945
2025-07-02,298359
2025-07-03,298627
2025-07-04,299165
2025-07-05,299553
2025-07-06,299881
2025-07-07,300270
2025-07-08,300610
2025-07-09,301229
2025-07-10,304170
2025-07-11,305286
2025-07-12,305780
2025-07-13,306979
2025-07-14,308262
2025-07-15,309136
2025-07-16,310106
2025-07-17,311363
2025-07-18,312582
2025-07-19,313334
2025-07-20,313888
2025-07-21,314117
2025-07-22,314685
2025-07-23,314901
2025-07-24,315675
2025-07-25,316330
2025-07-26,316800
2025-07-27,317266
2025-07-28,317796
2025-07-29,318360
2025-07-30,318961
2025-07-31,319498
2025-08-01,320115
2025-08-02,320678
2025-08-03,321182
2025-08-04,322195
2025-08-05,323138
2025-08-06,324193
2025-08-07,325085
2025-08-08,326459
2025-08-09,327897
2025-08-10,329470
2025-08-11,331645
2025-08-12,333630
2025-08-13,335033
2025-08-14,336124
2025-08-15,337175
2025-08-16,338288
2025-08-17,339454
2025-08-18,340525
2025-08-19,341718
2025-08-20,342826
2025-08-21,342976
